merges weighted thresh splits
17.8333333333 51.0 0.137255 229.333333333
20.3333333333 2.0 0.154902 205.333333333
23.5 55.5 0.180392 179.5
31.8333333333 160.333333333 0.213725 158.0
40.5 268.5 0.24902 136.5
53.0 410.833333333 0.280392 119.166666667
71.3333333333 605.833333333 0.305882 107.5
91.3333333333 814.833333333 0.32549 98.5
109.0 1001.83333333 0.341176 88.1666666667
130.833333333 1231.0 0.360784 77.3333333333
146.666666667 1401.33333333 0.382353 65.3333333333
161.5 1563.0 0.412745 52.0
173.166666667 1697.83333333 0.445098 33.8333333333
184.333333333 1827.66666667 0.5029415 15.6666666667
198.333333333 1983.33333333 0.835294 0.0
